Taxonomy,Fold donor enrichment,Fold final enrichment,Donor median abundance,Initial ASD median abundance,Final ASD median abundance,"t (two-tailed, one-sample)",p-value,FDR p-value
k__Bacteria;Other;Other,1.3010014577595006,1.570025829409554,0.000513830607177,0.000394950062594,0.0006200817995995001,1.1960964805830843,0.2502243679217925,0.5259983170590805
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,0.4493353722946915,0.5328920262058734,0.000551242592678,0.001226795455392,0.0006537495159640001,1.1715621326246852,0.25964671551235424,0.5259983170590805
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,0.0,1.2183330239205576,0.0,4.61036048086e-05,5.61695442601e-05,-1.276822328572064,0.22107773468431519,0.5259983170590805
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,0.7699665669341303,0.5499698576889541,0.000488440247476,0.000634365527611,0.000348881918943,-1.2590136567143466,0.22726664940269412,0.5259983170590805
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,0.4493353722946915,0.5328920262058734,0.000551242592678,0.001226795455392,0.0006537495159640001,1.1715621326246852,0.25964671551235424,0.5259983170590805
k__Bacteria;Other;Other;Other;Other,1.3010014577595006,1.570025829409554,0.000513830607177,0.000394950062594,0.0006200817995995001,1.1960964805830843,0.2502243679217925,0.5259983170590805
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,0.46168929780981677,0.5475432395428771,0.000551242592678,0.001193968747582,0.0006537495159640001,1.174388718369669,0.2585475474006127,0.5259983170590805
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,0.6995635237947864,0.5984084879991636,0.00040785695640800006,0.0005830163273745001,0.000348881918943,-1.2312569707479204,0.23718305122971148,0.5259983170590805
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0.5906163041255822,0.6118813604660197,0.000336757029803,0.0005701790273155,0.000348881918943,-1.1532367360265445,0.26685948937876736,0.5273220224563194
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas,inf,inf,0.00010514362619299998,0.0,0.004541427685515,1.1445380958314173,0.27033597353773337,0.5273220224563194
